image	type	mode	inode	offset	size	crc32	path	target	extracted_path
image-8	directory	40755	1	0	0	0			
image-8	file	100555	3758096386	3824	585728	ccfdd73	proc/boot/procnto-instr		image-8/proc/boot/procnto-instr
image-8	file	100666	3	589552	5308	5052129	proc/boot/.script		image-8/proc/boot/.script
image-8	symlink	121777	4	0	0	0	bin/sh	/bin/ksh	
image-8	symlink	121777	5	0	0	0	dev/console	/dev/ser1	
image-8	symlink	121777	6	0	0	0	tmp	/dev/shmem	
image-8	file	100555	3221225479	618224	490310	3fdf511d	lib/libc.so.3		image-8/lib/libc.so.3
image-8	symlink	120555	3221225480	0	0	0	lib/libc.so	libc.so.3	
image-8	file	100555	3221225481	1142512	21865	70f304e3	lib/dll/spi-dm816x.so		image-8/lib/dll/spi-dm816x.so
image-8	file	100555	3221225482	1167088	14393	6f21ea5e	lib/dll/libfram.so		image-8/lib/dll/libfram.so
image-8	file	101555	2147483659	1208048	232975	4e9df2ad	bin/ksh		image-8/bin/ksh
image-8	file	101555	2147483660	1441520	8554	e0556b7d	bin/echo		image-8/bin/echo
image-8	file	101555	2147483661	1453808	9339	165cdc80	bin/cat		image-8/bin/cat
image-8	file	101555	2147483662	1466096	24737	730b8e7b	bin/waitfor		image-8/bin/waitfor
image-8	file	101555	2147483663	1494768	14849	df5687c8	bin/watchdog_app		image-8/bin/watchdog_app
image-8	file	101555	2147483664	1511152	12861	ddb21f83	bin/rm		image-8/bin/rm
image-8	file	101555	17	1527536	4712	6d86c5	bin/bootmode.sh		image-8/bin/bootmode.sh
image-8	file	101555	2147483666	1535728	71950	ca37af2d	sbin/devc-pty		image-8/sbin/devc-pty
image-8	file	101555	2147483667	1609456	21275	817838fe	sbin/pipe		image-8/sbin/pipe
image-8	file	101555	2147483668	1634032	14485	5082c15a	sbin/spi-master		image-8/sbin/spi-master
image-8	file	101555	2147483669	1650416	15765	d198e1a4	usr/bin/dev-memory		image-8/usr/bin/dev-memory
image-8	file	101555	2147483670	1666800	41414	f3532056	usr/bin/dev-mmap		image-8/usr/bin/dev-mmap
image-8	file	101555	2147483671	1711856	25028	c6245326	usr/bin/dev-gpio		image-8/usr/bin/dev-gpio
image-8	file	101555	2147483672	1797872	99144	2a01a919	usr/bin/memifs_j5		image-8/usr/bin/memifs_j5
image-8	file	101555	2147483673	1900272	17150	6bfa1811	usr/bin/adjustImageState		image-8/usr/bin/adjustImageState
image-8	file	101555	2147483674	1920752	13156	fc8b2527	usr/bin/v850persistence		image-8/usr/bin/v850persistence
image-8	file	101555	2147483675	1937136	14856	8cd9307e	usr/bin/verifyISO		image-8/usr/bin/verifyISO
