image	type	mode	inode	offset	size	crc32	path	target	extracted_path
image-0	directory	40755	1	0	0	0			
image-0	directory	40777	359	0	0	0	etc/system/enum/include		
image-0	directory	40777	354	0	0	0	etc/system/enum/devices/usb		
image-0	directory	40777	353	0	0	0	etc/system/enum/devices		
image-0	directory	40777	351	0	0	0	etc/system/enum		
image-0	empty-file-directory-marker	100666	350	22988	0	0	etc/dbus-1/session.d/		
image-0	directory	40777	329	0	0	0	usr/share/lua/ToyotaWifiSvcPAL		
image-0	directory	40777	324	0	0	0	usr/share/lua/ssl		
image-0	directory	40777	317	0	0	0	usr/share/lua/socket		
image-0	directory	40777	315	0	0	0	usr/share/lua/services/ContactBackup		
image-0	directory	40777	314	0	0	0	usr/share/lua/services		
image-0	directory	40777	308	0	0	0	usr/share/lua/service/TunerService		
image-0	directory	40777	285	0	0	0	usr/share/lua/service/toyotamanager		
image-0	directory	40777	283	0	0	0	usr/share/lua/service/toyotaConnMgr		
image-0	directory	40777	281	0	0	0	usr/share/lua/service/timeMgr		
image-0	directory	40777	279	0	0	0	usr/share/lua/service/SimpleHandsFree		
image-0	directory	40777	276	0	0	0	usr/share/lua/service/ota		
image-0	directory	40777	274	0	0	0	usr/share/lua/service/diagnostics		
image-0	directory	40777	272	0	0	0	usr/share/lua/service/bluetooth/utils		
image-0	directory	40777	261	0	0	0	usr/share/lua/service/bluetooth/containers		
image-0	file	100444	259	22988	0	0	usr/share/lua/service/bluetooth/connectionCtlr.lua		image-0/usr/share/lua/service/bluetooth/connectionCtlr.lua
image-0	directory	40777	254	0	0	0	usr/share/lua/service/bluetooth		
image-0	directory	40777	253	0	0	0	usr/share/lua/service		
image-0	directory	40777	250	0	0	0	usr/share/lua/pm		
image-0	directory	40777	236	0	0	0	usr/share/lua/connmgr		
image-0	directory	40777	235	0	0	0	usr/share/lua		
image-0	directory	40777	225	0	0	0	usr/lib/lua/socket		
image-0	directory	40777	220	0	0	0	usr/lib/lua/omap		
image-0	directory	40777	218	0	0	0	usr/lib/lua/mime		
image-0	directory	40777	209	0	0	0	usr/lib/lua		
image-0	symlink	121777	140	0	0	0	usr/lib/libcrypto.so.0.9.8	libcrypto.so.1	
image-0	symlink	121777	139	0	0	0	usr/lib/libssl.so.0.9.8	libssl.so	
image-0	directory	40777	44	0	0	0	lib/air/runtimeSDK/Adobe AIR/Versions/1.0		
image-0	directory	40777	43	0	0	0	lib/air/runtimeSDK/Adobe AIR/Versions		
image-0	directory	40777	42	0	0	0	lib/air/runtimeSDK/Adobe AIR		
image-0	file	100444	303	22988	1563	bf4b92e9	usr/share/lua/service/toyotamanager/swupdateclient.lua		image-0/usr/share/lua/service/toyotamanager/swupdateclient.lua
image-0	file	100555	3221225474	24576	48115	aee1261	lib/libusbdi.so.2		image-0/lib/libusbdi.so.2
image-0	file	100444	299	72691	1020	37693014	usr/share/lua/service/toyotamanager/ndr.lua		image-0/usr/share/lua/service/toyotamanager/ndr.lua
image-0	symlink	120555	3221225475	0	0	0	lib/libusbdi.so	libusbdi.so.2	
image-0	file	100555	3221225476	73728	85638	975ae8c6	lib/libcam.so.2		image-0/lib/libcam.so.2
image-0	file	100444	366	159366	287	2c0005e3	etc/system/enum/include/pccard-types		image-0/etc/system/enum/include/pccard-types
image-0	file	100444	364	159653	81	fafbfdb9	etc/system/enum/include/net		image-0/etc/system/enum/include/net
image-0	symlink	120555	3221225477	0	0	0	lib/libcam.so	libcam.so.2	
image-0	file	100555	3221225478	159744	18375	fd71dc65	lib/libpps.so.1		image-0/lib/libpps.so.1
image-0	file	100444	334	178119	2092	bada317d	usr/lib/terminfo/q/qansi-g		image-0/usr/lib/terminfo/q/qansi-g
image-0	symlink	120555	3221225479	0	0	0	lib/libpps.so	libpps.so.1	
image-0	file	100555	3221225480	180224	146564	bb7ab1c5	lib/libexpat.so.1		image-0/lib/libexpat.so.1
image-0	file	100444	327	326788	865	ce82c372	usr/share/lua/stack.lua		image-0/usr/share/lua/stack.lua
image-0	file	100444	343	327653	26	6ef16c7d	etc/ttys		image-0/etc/ttys
image-0	symlink	120555	3221225481	0	0	0	lib/libexpat.so	libexpat.so.1	
image-0	file	100555	3221225482	327680	262260	c4959ab3	lib/libdbus-1.so.3		image-0/lib/libdbus-1.so.3
image-0	file	100444	325	589940	3976	fb12de4c	usr/share/lua/ssl/https.lua		image-0/usr/share/lua/ssl/https.lua
image-0	symlink	120555	3221225483	0	0	0	lib/libdbus-1.so	libdbus-1.so.3	
image-0	file	100555	3221225484	593920	158026	799f5152	lib/libjsoncpp.so.1		image-0/lib/libjsoncpp.so.1
image-0	file	100444	305	751946	1713	4e28c0d9	usr/share/lua/service/toyotamanager/usbinterrupt.lua		image-0/usr/share/lua/service/toyotamanager/usbinterrupt.lua
image-0	symlink	120555	3221225485	0	0	0	lib/libjsoncpp.so	libjsoncpp.so.1	
image-0	file	100555	3221225486	753664	228301	54188395	lib/libsvcipc.so.1		image-0/lib/libsvcipc.so.1
image-0	file	100444	252	981965	1045	e17dfe7a	usr/share/lua/queue.lua		image-0/usr/share/lua/queue.lua
image-0	file	100444	374	983010	26	50949a96	etc/system/config/calib.localhost		image-0/etc/system/config/calib.localhost
image-0	symlink	120555	3221225487	0	0	0	lib/libsvcipc.so	libsvcipc.so.1	
image-0	file	100555	3221225488	983040	149136	e0ec23a9	lib/libasound.so.2		image-0/lib/libasound.so.2
image-0	file	100444	335	1132176	2357	120bcfe3	usr/lib/terminfo/q/qansi-m		image-0/usr/lib/terminfo/q/qansi-m
image-0	file	100444	342	1134533	34	838db4ef	etc/shadow		image-0/etc/shadow
image-0	symlink	120555	3221225489	0	0	0	lib/libasound.so	libasound.so.2	
image-0	file	100555	3221225490	1134592	328643	5feabad2	lib/libcpp-ne.so.4		image-0/lib/libcpp-ne.so.4
image-0	file	100444	278	1463235	3042	1bd14341	usr/share/lua/service/ota/ota_updater.lua		image-0/usr/share/lua/service/ota/ota_updater.lua
image-0	file	100444	362	1466277	76	99dba97f	etc/system/enum/include/graphics		image-0/etc/system/enum/include/graphics
image-0	symlink	120555	3221225491	0	0	0	lib/libcpp-ne.so	libcpp-ne.so.4	
image-0	file	100555	3221225492	1466368	34518	d2ec139	lib/libhiddi.so.1		image-0/lib/libhiddi.so.1
image-0	file	100444	370	1500886	2324	52c8b1b0	etc/system/enum/include/pnpbios-types		image-0/etc/system/enum/include/pnpbios-types
image-0	symlink	120555	3221225493	0	0	0	lib/libhiddi.so	libhiddi.so.1	
image-0	file	100555	3221225494	1503232	51253	780eab28	lib/libgestures.so.1		image-0/lib/libgestures.so.1
image-0	file	100444	306	1554485	1897	2bc91647	usr/share/lua/service/toyotamanager/versioninfo.lua		image-0/usr/share/lua/service/toyotamanager/versioninfo.lua
image-0	file	100444	360	1556382	69	ce1d4096	etc/system/enum/include/audio		image-0/etc/system/enum/include/audio
image-0	symlink	120555	3221225495	0	0	0	lib/libgestures.so	libgestures.so.1	
image-0	file	100555	3221225496	1556480	46225	21c80664	lib/libinputevents.so.1		image-0/lib/libinputevents.so.1
image-0	file	100444	300	1602705	2627	98ff0998	usr/share/lua/service/toyotamanager/persistentscopes.lua		image-0/usr/share/lua/service/toyotamanager/persistentscopes.lua
image-0	file	100444	352	1605332	278	5e044aa3	etc/system/enum/common		image-0/etc/system/enum/common
image-0	symlink	120555	3221225497	0	0	0	lib/libinputevents.so	libinputevents.so.1	
image-0	file	100555	3221225498	1605632	15044	442d7dbf	lib/libmtouch-calib.so.1		image-0/lib/libmtouch-calib.so.1
image-0	file	100444	273	1620676	1340	cc80a984	usr/share/lua/service/bluetooth/utils/utils.lua		image-0/usr/share/lua/service/bluetooth/utils/utils.lua
image-0	symlink	120555	3221225499	0	0	0	lib/libmtouch-calib.so	libmtouch-calib.so.1	
image-0	file	100555	3221225500	1622016	31625	54360db3	lib/libmtouch-toyota.so.1		image-0/lib/libmtouch-toyota.so.1
image-0	file	100444	114	1653641	1002	c33db3b1	etc/fontconfig/fonts.conf		image-0/etc/fontconfig/fonts.conf
image-0	file	100444	340	1654643	140	e88d858b	etc/passwd		image-0/etc/passwd
image-0	symlink	120555	3221225501	0	0	0	lib/libmtouch-toyota.so	libmtouch-toyota.so.1	
image-0	file	100555	3221225502	1654784	8920	332f05f4	lib/libmtouch-devi.so.1		image-0/lib/libmtouch-devi.so.1
image-0	file	100444	348	1663704	3227	e9213b0e	etc/dbus-1/session.conf		image-0/etc/dbus-1/session.conf
image-0	file	100444	341	1666931	132	d5b8c7d9	etc/group		image-0/etc/group
image-0	symlink	120555	3221225503	0	0	0	lib/libmtouch-devi.so	libmtouch-devi.so.1	
image-0	file	100555	3221225504	1667072	210838	f106a08f	lib/dll/io-blk.so		image-0/lib/dll/io-blk.so
image-0	file	100444	268	1877910	2078	66b4ed00	usr/share/lua/service/bluetooth/persistence.lua		image-0/usr/share/lua/service/bluetooth/persistence.lua
image-0	file	100444	377	1879988	65	7bcc7fe6	etc/system/config/calib.lilliput		image-0/etc/system/config/calib.lilliput
image-0	file	100555	3221225505	1880064	18384	dd2e4df5	lib/dll/cam-disk.so		image-0/lib/dll/cam-disk.so
image-0	file	100444	376	1898448	2046	5324bd27	etc/system/config/qnxair.conf		image-0/etc/system/config/qnxair.conf
image-0	file	100555	3221225506	1900544	92607	b0b01e67	lib/dll/fs-qnx6.so		image-0/lib/dll/fs-qnx6.so
image-0	file	100444	264	1993151	1537	5f0745a	usr/share/lua/service/bluetooth/deviceCtlr.lua		image-0/usr/share/lua/service/bluetooth/deviceCtlr.lua
image-0	file	100555	3221225507	1994752	66779	63a6bfad	lib/dll/devu-dm816x-mg.so		image-0/lib/dll/devu-dm816x-mg.so
image-0	file	100444	249	2061531	2433	dcac7205	usr/share/lua/mime.lua		image-0/usr/share/lua/mime.lua
image-0	file	100444	248	2063964	383	70a4f142	usr/share/lua/mictest.lua		image-0/usr/share/lua/mictest.lua
image-0	file	100555	3221225508	2064384	13968	942f10e7	lib/dll/img_codec_bmp.so		image-0/lib/dll/img_codec_bmp.so
image-0	file	100444	337	2078352	2357	984f9b	usr/lib/terminfo/q/qansi-w		image-0/usr/lib/terminfo/q/qansi-w
image-0	file	100555	3221225509	2080768	9820	8def9406	lib/dll/img_codec_gif.so		image-0/lib/dll/img_codec_gif.so
image-0	file	100444	326	2090588	2319	7c4db197	usr/share/lua/ssl.lua		image-0/usr/share/lua/ssl.lua
image-0	file	100444	361	2092907	149	45186217	etc/system/enum/include/block		image-0/etc/system/enum/include/block
image-0	file	100555	3221225510	2093056	110641	693c73e2	lib/dll/img_codec_jpg.so		image-0/lib/dll/img_codec_jpg.so
image-0	file	100444	349	2203697	3720	64e26768	etc/dbus-1/system.conf		image-0/etc/dbus-1/system.conf
image-0	file	100666	332	2207417	273	eaad0118	etc/profile		image-0/etc/profile
image-0	file	100555	3221225511	2207744	132973	350e01d3	lib/dll/img_codec_png.so		image-0/lib/dll/img_codec_png.so
image-0	file	100444	265	2340717	2191	f7cb83fd	usr/share/lua/service/bluetooth/internetConnection.lua		image-0/usr/share/lua/service/bluetooth/internetConnection.lua
image-0	file	100555	3221225512	2342912	15002	67b79dcd	lib/dll/screen-pvr2d.so		image-0/lib/dll/screen-pvr2d.so
image-0	file	100444	302	2357914	1343	fd3d1876	usr/share/lua/service/toyotamanager/properties.lua		image-0/usr/share/lua/service/toyotamanager/properties.lua
image-0	file	100555	3221225513	2359296	10177	9e1a55fe	lib/dll/screen-sw.so		image-0/lib/dll/screen-sw.so
image-0	file	100444	70	2369473	1869	b2e7594	usr/lib/graphics/jacinto5/graphics.conf		image-0/usr/lib/graphics/jacinto5/graphics.conf
image-0	file	100444	358	2371342	224	e05f7d12	etc/system/enum/devices/usb/mtp		image-0/etc/system/enum/devices/usb/mtp
image-0	file	100555	3221225517	2371584	10992051	7126d3bf	lib/air/runtimeSDK/Adobe AIR/Versions/1.0/libCore.so		image-0/lib/air/runtimeSDK/Adobe AIR/Versions/1.0/libCore.so
image-0	file	100444	355	13363635	1522	d4c0d616	etc/system/enum/devices/usb/char		image-0/etc/system/enum/devices/usb/char
image-0	file	100555	3221225518	13365248	12854	b198baf3	lib/dll/libclipboard.so.1		image-0/lib/dll/libclipboard.so.1
image-0	file	100444	296	13378102	3189	12e8dc85	usr/share/lua/service/toyotamanager/microphonemanager.lua		image-0/usr/share/lua/service/toyotamanager/microphonemanager.lua
image-0	file	100444	367	13381291	132	e61aaec5	etc/system/enum/include/pccard-vendors		image-0/etc/system/enum/include/pccard-vendors
image-0	symlink	120555	3221225519	0	0	0	lib/dll/libclipboard.so	libclipboard.so.1	
image-0	file	100555	3221225520	13381632	15304730	afb7f671	lib/dll/libicudata.so.46		image-0/lib/dll/libicudata.so.46
image-0	file	100444	363	28686362	1866	7745b2b8	etc/system/enum/include/isa-types		image-0/etc/system/enum/include/isa-types
image-0	symlink	120555	3221225521	0	0	0	lib/dll/libicudata.so	libicudata.so.46	
image-0	file	100555	3221225522	28688384	1398471	8b7e0518	lib/dll/libicui18n.so.46		image-0/lib/dll/libicui18n.so.46
image-0	file	100444	336	30086855	2301	8a80c11e	usr/lib/terminfo/q/qansi-t		image-0/usr/lib/terminfo/q/qansi-t
image-0	symlink	120555	3221225523	0	0	0	lib/dll/libicui18n.so	libicui18n.so.46	
image-0	file	100555	3221225524	30089216	1040964	859eacbd	lib/dll/libicuuc.so.40		image-0/lib/dll/libicuuc.so.40
image-0	file	100444	301	31130180	3013	ee4302ca	usr/share/lua/service/toyotamanager/powerinterrupt.lua		image-0/usr/share/lua/service/toyotamanager/powerinterrupt.lua
image-0	file	100444	375	31133193	474	524eff47	etc/system/config/keymap.conf		image-0/etc/system/config/keymap.conf
image-0	symlink	120555	3221225525	0	0	0	lib/dll/libicuuc.so	libicuuc.so.40	
image-0	file	100555	3221225526	31133696	1620289	89e5e460	lib/dll/libcrypto.so.2		image-0/lib/dll/libcrypto.so.2
image-0	file	100444	256	32753985	1720	bb3719f	usr/share/lua/service/bluetooth/btTrace.lua		image-0/usr/share/lua/service/bluetooth/btTrace.lua
image-0	symlink	120555	3221225527	0	0	0	lib/dll/libcrypto.so	libcrypto.so.2	
image-0	file	100555	3221225528	32755712	14393	24e03d77	lib/dll/libfram.so		image-0/lib/dll/libfram.so
image-0	file	100444	368	32770105	1698	4af41810	etc/system/enum/include/pci-class		image-0/etc/system/enum/include/pci-class
image-0	file	100555	3221225529	32772096	295512	2f46ed3b	usr/lib/graphics/jacinto5/libglslcompiler.so		image-0/usr/lib/graphics/jacinto5/libglslcompiler.so
image-0	file	100444	333	33067608	2295	d4dfaa9a	usr/lib/terminfo/q/qansi		image-0/usr/lib/terminfo/q/qansi
image-0	file	100444	260	33069903	971	47021753	usr/share/lua/service/bluetooth/constants.lua		image-0/usr/share/lua/service/bluetooth/constants.lua
image-0	file	100555	3221225530	33071104	78434	c7130788	usr/lib/graphics/jacinto5/libIMGegl.so		image-0/usr/lib/graphics/jacinto5/libIMGegl.so
image-0	file	100444	245	33149538	2284	20966675	usr/share/lua/getopt.lua		image-0/usr/share/lua/getopt.lua
image-0	file	100444	372	33151822	938	d8e2a1df	etc/system/config/img.conf		image-0/etc/system/config/img.conf
image-0	file	100555	3221225531	33153024	511732	f16de859	usr/lib/graphics/jacinto5/libImgGLESv1_CM.so		image-0/usr/lib/graphics/jacinto5/libImgGLESv1_CM.so
image-0	file	100555	3221225532	33665024	458489	d28ab57f	usr/lib/graphics/jacinto5/libImgGLESv2.so		image-0/usr/lib/graphics/jacinto5/libImgGLESv2.so
image-0	file	100555	3221225533	34123776	6639	82ad5d08	usr/lib/graphics/jacinto5/libj5modes.so.0		image-0/usr/lib/graphics/jacinto5/libj5modes.so.0
image-0	file	100444	369	34130415	1447	18e6bf5a	etc/system/enum/include/pci-vendors		image-0/etc/system/enum/include/pci-vendors
image-0	symlink	120555	3221225534	0	0	0	usr/lib/graphics/jacinto5/libj5modes.so	libj5modes.so.0	
image-0	file	100555	3221225535	34131968	27297	2b89f758	usr/lib/graphics/jacinto5/libpvr2d.so		image-0/usr/lib/graphics/jacinto5/libpvr2d.so
image-0	file	100444	373	34159265	1241	bbbab359	etc/system/config/gpio-toyota.conf		image-0/etc/system/config/gpio-toyota.conf
image-0	file	100555	3221225536	34160640	223958	5308089b	usr/lib/graphics/jacinto5/libsrv_um.so		image-0/usr/lib/graphics/jacinto5/libsrv_um.so
image-0	file	100444	247	34384598	1213	16486461	usr/share/lua/mcd.lua		image-0/usr/share/lua/mcd.lua
image-0	file	100555	3221225537	34385920	983767	997e9d6	usr/lib/graphics/jacinto5/libusc.so		image-0/usr/lib/graphics/jacinto5/libusc.so
image-0	file	100444	371	35369687	2274	78a5c50a	etc/system/enum/include/usb-class		image-0/etc/system/enum/include/usb-class
image-0	file	100444	328	35371961	928	f21cd6c4	usr/share/lua/strict.lua		image-0/usr/share/lua/strict.lua
image-0	file	100555	3221225538	35373056	122124	f93219cb	usr/lib/graphics/jacinto5/libWFDjacinto5.so		image-0/usr/lib/graphics/jacinto5/libWFDjacinto5.so
image-0	file	100444	262	35495180	559	5c09c378	usr/share/lua/service/bluetooth/containers/callState.lua		image-0/usr/share/lua/service/bluetooth/containers/callState.lua
image-0	file	100555	3221225539	35495936	250339	d37bcf9c	usr/lib/graphics/jacinto5/pvrsrv.so		image-0/usr/lib/graphics/jacinto5/pvrsrv.so
image-0	file	100444	321	35746275	3608	793e72ce	usr/share/lua/socket/tp.lua		image-0/usr/share/lua/socket/tp.lua
image-0	file	100555	3221225540	35749888	100499	b04d969d	usr/lib/graphics/jacinto5/pvrsrvinit.so		image-0/usr/lib/graphics/jacinto5/pvrsrvinit.so
image-0	file	100444	293	35850387	1688	cef64f8b	usr/share/lua/service/toyotamanager/languagecolorcodes.lua		image-0/usr/share/lua/service/toyotamanager/languagecolorcodes.lua
image-0	file	100555	3221225541	35852288	25805	244329a5	usr/lib/graphics/jacinto5/wsegl-screen.so		image-0/usr/lib/graphics/jacinto5/wsegl-screen.so
image-0	file	100444	287	35878093	2202	674525a6	usr/share/lua/service/toyotamanager/audioClient.lua		image-0/usr/share/lua/service/toyotamanager/audioClient.lua
image-0	file	101555	207	35880295	444	61b0ad57	usr/bin/luaservice		image-0/usr/bin/luaservice
image-0	file	100555	3221225543	35880960	100774	d91c823c	usr/lib/libgf.so.1		image-0/usr/lib/libgf.so.1
image-0	file	100444	345	35981734	917	5afb3001	etc/enum-usb.conf		image-0/etc/enum-usb.conf
image-0	file	100444	365	35982651	423	32f78c68	etc/system/enum/include/par-class		image-0/etc/system/enum/include/par-class
image-0	symlink	120555	3221225544	0	0	0	usr/lib/libgf.so	libgf.so.1	
image-0	file	100555	3221225545	35983360	156855	c16cda77	usr/lib/libffb.so.2		image-0/usr/lib/libffb.so.2
image-0	file	100444	356	36140215	794	4676fec7	etc/system/enum/devices/usb/ipod		image-0/etc/system/enum/devices/usb/ipod
image-0	file	100444	346	36141009	766	93e30d17	etc/mcd.mnt		image-0/etc/mcd.mnt
image-0	file	100444	347	36141775	758	b5616cc	etc/multipleKeyMaps.cfg		image-0/etc/multipleKeyMaps.cfg
image-0	file	100444	357	36142533	381	345e922d	etc/system/enum/devices/usb/mass		image-0/etc/system/enum/devices/usb/mass
image-0	symlink	120555	3221225546	0	0	0	usr/lib/libffb.so	libffb.so.2	
image-0	file	100555	3221225547	36143104	68938	87e8f1e4	usr/lib/libimg.so.1		image-0/usr/lib/libimg.so.1
image-0	symlink	120555	3221225548	0	0	0	usr/lib/libimg.so	libimg.so.1	
image-0	file	100555	3221225549	36212736	24525	95476f4c	usr/lib/libKD.so.1		image-0/usr/lib/libKD.so.1
image-0	symlink	120555	3221225550	0	0	0	usr/lib/libKD.so	libKD.so.1	
image-0	file	100555	3221225551	36237312	30327	626f3798	usr/lib/libfont.so.1		image-0/usr/lib/libfont.so.1
image-0	symlink	120555	3221225552	0	0	0	usr/lib/libfont.so	libfont.so.1	
image-0	file	100555	3221225553	36270080	377272	ed9b0205	usr/lib/libcurl.so.2		image-0/usr/lib/libcurl.so.2
image-0	file	100444	344	36647352	3643	c9643011	etc/mcd.conf		image-0/etc/mcd.conf
image-0	symlink	120555	3221225554	0	0	0	usr/lib/libcurl.so	libcurl.so.2	
image-0	file	100555	3221225555	36651008	61135	322e2702	usr/lib/libcares.so.1		image-0/usr/lib/libcares.so.1
image-0	symlink	120555	3221225556	0	0	0	usr/lib/libcares.so	libcares.so.1	
image-0	file	100555	3221225557	36712448	1076663	b8ff4416	usr/lib/libxml2.so.1		image-0/usr/lib/libxml2.so.1
image-0	symlink	120555	3221225558	0	0	0	usr/lib/libxml2.so	libxml2.so.1	
image-0	file	100555	3221225559	37789696	16680	2558cb77	usr/lib/libaoi.so.1		image-0/usr/lib/libaoi.so.1
image-0	file	100444	290	37806376	3695	593c226e	usr/share/lua/service/toyotamanager/filecopy.lua		image-0/usr/share/lua/service/toyotamanager/filecopy.lua
image-0	symlink	120555	3221225560	0	0	0	usr/lib/libaoi.so	libaoi.so.1	
image-0	file	100555	3221225561	37810176	50027	666ab81e	usr/lib/libmmedia.so.1		image-0/usr/lib/libmmedia.so.1
image-0	symlink	120555	3221225562	0	0	0	usr/lib/libmmedia.so	libmmedia.so.1	
image-0	file	100555	3221225563	37863424	14829	96ede8dc	usr/lib/libmmlink.so.1		image-0/usr/lib/libmmlink.so.1
image-0	symlink	120555	3221225564	0	0	0	usr/lib/libmmlink.so	libmmlink.so.1	
image-0	file	100555	3221225565	37879808	178712	372ece01	usr/lib/libfontconfig.so.1		image-0/usr/lib/libfontconfig.so.1
image-0	symlink	120555	3221225566	0	0	0	usr/lib/libfontconfig.so	libfontconfig.so.1	
